,qu,qa,ans,is_duplicate
13,why do some students cheat during tests and exams,why do some students cheat on tests in america,"​​""When students cheat on exams, it's because our school system values grades more than students value learning."" - Neil deGrasse TysonThis tweet explains it better than I can in a thousand words.​",1
14,which are some best coaching centers for ca ipcc in delhi,chartered accountants ca what is best coaching in delhi for ipcc both groups first attempt,"If you want a good teacher in IPCC for Taxation CA Nitin Guru is really good. He has a clear idea of his subject and he gives timely notes and also clears doubts, giving good attention to his students.",1
15,how does feal gay sex,what do you feel while having gay sex,"It feels exactly like heterosexual sex since the activities are almost entirely equivalent.Your thoughts:""But in heterosexual sex, men don't experience anal penetration.""The internet will cure you of that misconception.",1
16,how do i better communicate with my boyfriend,how can i better communicate with my boyfriend when he s very sarcastic about everything,"You don't have to talk to him if he's being sarcastic.Tell him: ""I can't talk to you if you're going to be sarcastic all the time. I'd like to have a serious, sincere discussion once in a while. Are we, or are we not, in a serious, sincere relationship?""Let him think about that. Give him a few days. If he doesn't deliver, break up with him. You deserve better.",1
17,what songs should i listen to if i hate someone,what songs should i listen to when i hate someone,"I really dislike being so negative, but there are a couple that come to mind.That said, I hope you feel better soon.",1
18,can an idea be right and wrong at the same time,how can an idea be right and wrong at the same time,"In answers to objectively determinable questions? In the same context?Not unless it involves some iteration of Schrodinger's cat:Answers to subjectively determinable questions can both be ""right"" or ""wrong"":""Are cheeseburgers delicious?"" If you say they are and I say they are not, then we can both be correct, since the determinations are subjective.",1
19,what are some of the must visit places and must do things in and around pune being new to the city i would really appreciate an answer,what are some must visit places or things to do in pune,-Try out Street FoodWhat is a can't-miss place to eat in Pune?-On weekend Go for treking to sinhgad. It has great weather during june-july.,1
20,what antibiotics are effective for a stinging urethra,what antibiotics are effective against a stinging urethra,Doesn't really matter quite as much as finding out what's causing it.Do you have a UTI? Do you have an STI? Is it contact inflammation from using a new soap or spray or some other chemical?You can't know until you get tested.,1
21,how did aman bansal prepare for iit jee,how did aman bansal air 1 jee study,"its not how but you have to.he had put in his hardwork and succeeded, if you put in you too surely will!",1
22,what are the top 5 worst naruto plot holes,what is the worst naruto plot hole,I wouldn't say it is a plot hole but I don't like the last villain they had in the series.It just kind of ruined Madara for me.He was set up as the big bad for years and he gets killed off almost instantly and replace by some woman we only just found out about.I would have been happyier if the story was madara was just a repeat of history,1
23,how will the ban on rs 500 and 1000 notes impact the indian economy,how can the ban of 500 and 1000 rupee notes increase the indian economy,"A really smart move, I must say.Now that old not will be useless. People will exchange them for new ones or deposit them in bank. What about people who have tons of black money sitting in their house? That will be useless. Yes, they will try different tricks but they will still loose a lot. I am wondering why no one ever thought of this before.",1
24,is a service desk in tcs good or not,is service desk in tcs good or not,"Simple. If you have plans for higher studies, it is the best job, else, If you are good at coding, you may try for shifting your position immediately.",1
25,what are the skills required to get a job in companies like ti qualcom in analog vlsi domain,how do i get a job in the vlsi field,VLSI is very vast field choose your domain. Be good in your domain. Front end and Back end both are good fields and have lots of openings. I am basically in ASIC Verification domain. If you have any more queries call me 915607198 on mail advaneharshal@gmail.com,1
26,what are the most important vitamins a 34 year old healthy male should take,what vitamins or supplements should a healthy 35 year old man be taking daily,If you are eating a healthy diet and have not been diagnosed with a deficiency or condition requiring vitamin supplements then there are no vitamin supplements you should take.See Vitamin Supplements: Bad Idea.,1
27,what are the top hotels in jaipur,what are some best hotel in jaipur,"WudStay Elite JaipurKothi Circle Station Road, JaipurI have best exp with WudStay.Kindly try once.",1
28,if vacuum gravitational and dark energy is created without limit as universe expands,if universe is expanding without a limit and dark and vacuum energy are created as it expands,um hi. i already kinda answered this heres the link!: Isaiah Alexander-de Haan's answer to Would we get more dark energy as the universe expands?,1
29,what should i do if i want to become an entrepreneur but i have no idea and money,what can be the best idea to become an entrepreneur,"The brilliant Idea is solve a existing human life problems and you will see , and you will huge one day.",1
30,what is your favorite book that you have read this year,what s your favorite book of the year,Perfect by Cecelia ahern. Do read it's first part too. THE flawed.,1
31,is anyone fluent in greek and do you know how to write using the greek alphabet can you translate i know that i know nothing,how do you translate the phrase i know that i know nothing in greek,"ἕν οἶδα, ὅτι οὐδέν οἶδα (ancient original)ένα ξέρω, ότι ξέρω μηδέν.(one I know, that I know zero).",1
32,why are people so pessimistic,why are some people always pessimistic,"Being pessimistic, feeling powerless, and believing one has a lack of control over their happiness allows one to shift their responsibilities. It's a mental escape and can hinder one's potential in life.It's also the easy way out where one feels little to zero guilt for their problems/life.-experience from raising children and being a shoulder to cry on for more people than I can remember.",1
33,how do i add images in quora,can i add images to my questions on quora,I had the same dilemna on Quora. Finally figured out that the pieçe of techno I was using for the most part simply required an app use.,1
34,what are the legal consequences if i forgot to pay a speeding ticket,what consequences can i face if i forgot to pay my traffic ticket,"Eventually you'll have a bench warrant for your arrest.A friend didn't pay a fishing without a license ticket … it took about 2 years, but the sheriff's department showed up at her door and took her to jail (for the night, but she had to pay the fine to get out).",1
35,which is the best way to improve football skills,how do i improve football skills,"First thing is to get your fitness up, no point being the best player on the pitch if you can't run after 55 minutes.Then work on your first touch and passing so you can control the ball and bring others into the game.The rest depends pretty much on what position you play.",1
36,how do i start a solar energy business,how do i start solar energy business,Pls get in touch with me on my mail id md@su-Kam.com,1
37,how shall i prepare for ibps po interview,how do you prepare for an ibps po interview,"Particularly, for ibps interviews there are many videos om you tube, u should check out there.. And also many help is available online….",1
38,what are the ways to commit suicide,what are ways to commit suicide,"By waiting some 70 years, then it will happen by itself.While you wait, you can put those 70 years to good use by helping others and contributing to art, science or social life.",1
39,what are the employment prospects for an electrical engineer in silicon valley,is there any jobs in silicon valley for electrical engineers,"It is a function of what you know and what you want to work on.Today, there are at least 2X more jobs posted in SW than in HW.For posted jobs, there are 10X more resumes submitted for HW positions than for SW positions.I am actually encouraging my Electrical Engineering friends to transition to SW, even learn Computer Science subjects.",1
40,what is the difference between financial bills and money bills,what is the difference between a finance bill and a financial bill,Please visit the following link:-What is the difference between a Money Bill & a Finance Bill?,1
41,how can you delete a question that you asked on quora,can i delete all the questions i asked on quora,How do you delete questions on Quora?You have to do it in a certain amount of timeHere is Quoras official answer Quora's answer to How do I delete my own question from Quora?Here is another link with Quorans answers How do I delete my own question from Quora?Hope this helps,1
42,what are some really good movies i should check out,what are some really good films,"I went out of my way to find the soundtrack to the movie The Mission (2003).The movie is incredibly profound in itself, but the musical score is elegant and unforgettable.",1
43,is the ielts better than pte,which one is better ielts or pte,"You can't compare apples to oranges. They are very different.for a better and more in-depth reading, you can go through the following article. Hope it helps.IELTS or PTE?hope it helps.www.english-academy.in",1
44,if i am having a current account how much amount per day can i deposit having currency of 1000 and 500,what happens to current account holders how much money they can deposit in bank of old 500 1000 notes,"Though nothing specific has come out in open, but going simply by basic accounting logics, whatever Cash-in-hand u have in ur books till the midnight of 8th Nov 2016, you can deposit in multiples of ₹500 & ₹1000.Post that, u can't accept any cash transaction in multiple of old ₹500 & ₹1000.More clarification is required, professional advice is recommended.",1
45,what is the fastest possible way to lose weight,what should you do if you want to lose a lot of weight,"Stop eating sugar.I followed these guidelines for a month in an experiment to see if my anxiety decreased, but it actually made me lose 5 pounds in about 10 days. I hadn't realized how dependent I was on sugar for meals — white rice, bread, etc.",1
46,what are the best resources online to self study german,what s the best site to learn german,Goethe institutehttp://Dw.com (deutsche welle) free,1
47,what are some things not to do in life,what are some things not to do in my life,Go for an adventure trip with your buddies!,1
48,which one out of samsung galaxy s7 and iphone 6s is better,should i buy phone 6s or samsung galaxy edge 7,"iPhone 6s plus is better in my opinion because it offers what the most users seek ""encryption"" and it has many great featurescheck what yo can get on an iPhone 6s Plus",1
49,can someone help me imagining the fourth dimension,how can i imagine a fourth spacial dimension,This video makes it nice and simple:Part two goes all the way up to the tenth dimension:,1
50,how should i study for my psat,what are the best ways to prepare for the psat,"Study official practice tests, which are available here: The Official SAT Study Guide Second Edition: The College Board: 9780874478525: Amazon.com: BooksTake the practice tests timed and study your mistakes carefully.You can also check out free SAT lessons and strategies on my blog: The SAT/ACT Blog.",1
51,is it true that clitoris is a tiny penis,is an really large clitoris anatomically similar to an really small penis,"No, it is not. While both organs have internal aspects (not just what you see), that of the clitoris is far larger. ",1
52,what are some of the foods that i should eat to protect my eyesight,what foods can i eat to improve my eyesight,"Honestly, there are pretty much no foods that make a significant impact on the welfare of your eyes.Although, Vitamin A is affects vision, so you may want to stock up on more foods loaded with those.EG: sweet potato, salads, carrots",1
53,which is the most hilarious answer on quora any question,what are some most hilarious answers on quora,What are some funny questions asked on Quora?,1
54,what are the best rainy day activities to do with children in the bay area,what are good rainy day activities to do in the bay area,"Check out your local library- while many have been forced to scale back programs due to budget cuts, some still have great story-time events and just comfortable indoor play areas. Museums are also great- few of my favorites:Children's Creativity Museum (SF): http://creativity.org/Children's Discovery Museum (SJ): http://www.cdm.org/index.asp?f=1Tech Museum (SJ): http://www.thetech.org/",1
55,how can i find my lost phone,how do i find a lost phone,Use this android app if you using the android OS mobile.https://play.google.com/store/apps/details?id=com.vigildroid.ryhill&hl=en,1
56,which are the best mutual funds to invest money,what are some good mutual funds to invest in at the moment,"A panel of financial advisors and other sorts of investing gurus answered your very question in this article: How To Invest Your Money In The Second Half Of 2015. They recommend international growth mutual funds, master limited partnerships, defensive sectors such as healthcare and consumer staples and Dimensional Funds.",1
57,what is the best question that you have ever met in your life what is the most original question that you have ever met in your life,question what is the best question or answer in quora or in your life,"Someone on Quora asked if I was real.Think about that.If I asked you if you truly existed, how would you go about proving it?The question suggested I might be the figment of someone's imagination.I can't help but wonder if perhaps I am.—-Is Dushka Zapata a real person, or the imagination of a good writer?",1
58,where can i buy best quality customized cupcakes in gold coast,where can i get very nice and original flavor cupcakes in gold coast,"The Industrial Bakery Pastry specialization in the industry known as food serving & preparation. BBL foods provides Industrial Bakery Pastry which helps in making lot of bakery and pastry itemsCup Cake plants, Centre filled cookies",1
59,does hindi need to be made compulsary in india,is hindi important for the integrity of india,For the same reason as human body needs backbone.Hindi is a limb of India...and kind of important one.,1
60,how many medals should we expect from india this summer olympics,this time india sent nation s largest delegation ever so how many medals india will carry from rio olympic 2016,"Why not 3 figure?Shoot for the moon, even if you fail you will land up in stars.Yes, 2 figure quiet possible.",1
61,what is the best advanced c book,what are resources for learning advanced c programming,Do you use an Inversion Of Control container? Build one yourself. Get stuck? Read the code of another one.Do you use a ORM library? Build one yourself. Get stuck? Read the code of another one.Just reading will get you nowhere. Simply build a library in an area that you are interested in.,1
62,do you know of any employee s unions having plans to hold organizing skills training sessions for employees offshore where low wage products are made,is there a union with plans to hold union organizing skill training for low wage employees making products offshore,"No, because unions do not typically have the ability to organize in low wage countries. There is no way a group of foreigners are going to have success when it isn't usually feasible for locals.",1
63,how do real estate sites make money,how can i make money from my real estate website,"Through ads, paid placements, featured listing. Nishkarshletslearntoearnonline.com",1
64,how did you overcome your spending habit,how would you describe your spending habits,"I manage my spending habits by looking at the big picture. If I max out my visa card I will be in the same place I was about five years ago, ""wondering when I will need to move into my car!"" No thanks, not a great experience or place to be in my life. I now save, a few dollars at a time. It's intentional because every time I have a few dollars, I remind myself I love to travel and live :)",1
65,what it is like to live in mumbai,what is it like to stay in mumbai,"Mumbai is India's version of the big apple! The land of opportunities, the place where everyone who comes to work, and almost no one goes back dissapointed.The we-dont-care attitude, the fiat-taxis, the bindass dressing sense of the people (unlike delhi). I love living here. Best city in the world! Proud MUMBAIKAR!",1
66,where did the civil war begin,what year did the civil war begin,The American Civil War began in 1861 with the bombardment of Fort Sumter off the South Carolina coast by Confederate General PGT Beauregard.,1
67,how can you resolve the problem of accounting software tool by quickbooks technical support number,which is the best quickbooks tech support number,"Call on the Quickbooks Support number 1844-722-6675 , you can call anytime it is 24 hours and 7 days availableNo Charges for Minor Problems",1
68,which is the best harry potter film and why,what is your favorite film from the harry potter series and why,Deathly Hallows Part 2(Half-Blood Prince and Order of Phoenix tied in second!),1
69,what are the best ways to download youtube videos,what is the best way to download a youtube video,"Similar to Arsen Hovo, Another viable website is Clip Converter",1
70,who invented the light bulb,who invented light bulb thomas edison or joseph swan,Joseph Swan invented the light bulb while Edison made it commercially viable.  Edison then launched an advertising campaign claiming he invented it even though he knew better. Joseph Swan,1
71,what are the consequences of the conflict between ukraine and russia,what is currently being done to resolve the conflict between russia and ukraine,War. Ukrainian soldiers are still dying out there.Loss of territorries.Economic crisis. Prior to Euromaidan and war conflict the economies of our countries were deeply interconnected. Now both Ukraine and Russia imposed economic sanctions on each other = loss of income of many Ukrainians.,1
72,what is the best way to learn pathology,how should i study pathology,Pathology slides for 2nd year MBBS students http://projectalice1996.blogspot...,1
73,why can t you delete a quora question,how do i delete a quora question,How do you delete questions on Quora?You have to do it in a certain amount of timeHere is Quoras official answer Quora's answer to How do I delete my own question from Quora?Here is another link with Quorans answers How do I delete my own question from Quora?Hope this helps,1
74,how can i stop masturbations,how can i stop masturbating forever,"You can't get rid of it. It's something you either do or do not.If you do not want to masturbate, stop doing it. Go outside. Find a new hobby. Go for a run. Volunteer at a homeless shelter. Do something else!",1
75,which are the famous tourist places in chhattisgarh,what are some of the famous tourist places in chhattisgarh,1. Chitrakot Waterfall2. Achanakumar Wildlife Sanctuary3. Maitri Bagh4. Bastar Palace5.  Gadiya Mountain6. Rajpuri Waterfall,1
76,why do people hate anime,why do people hate anime so much,I don't hate animals at all. I see animals as divine creatures. Any human that hates animals are evil and soulless entities.,1
77,what is the best bicycle to buy in the range of 10k,which is the best bike in in dia to buy in inr 10k,your requirements match this cycleHERODTB 26T 18STitle Here,1
78,why do my easy to understand questions keep getting marked as needing improvement on quora,why does my question keep getting marked as needing improvement,That is perfectly true! i hate when the Quora bot marks clear questions with 'needing improvement' this annoying :( ,1
79,how would i know if my date wants to have sex with me,how can i tell if my date wants to have sex,I ask. They tell me. I believe the answer.,1
80,how do i recover my gmail account when the recovery phone is no longer in service and forget my old password,how do i recover a forgotten gmail password,http://google.com/accounts/forgotpassword,1
81,what are the character traits of a hufflepuff,what are the traits of a hufflepuff,"What a funny question. The different houses in Harry Potter are generalized archetypes. Hufflepuff, instead of representing great heroes or villains, kind of represents the common man, people who get things done behind the scenes that often go unnoticed.Nothing wrong with that. A noble house indeed.",1
82,what is the importance of sociology to education,importance of sociology of education,Teaching is done to people in groups. Sociology is about how people react to each other in a group.,1
83,what does it feel like to be deaf,what is it like to be deaf,"I would agree with all of the responses here. Living the life as a deaf person is just like another life; filled with happiness, sadness, friends and taxes.Life is what you make it. I choose to look at my glass as ½-full and therefore I enjoy my life more and more every day.",1
84,do you want to become an entrepreneur,why do you want to be an entrepreneur or why did you become an entrepreneur,"Elaborating on my personal needs — I enjoy building things, and I personally couldn't see myself being a corporate office drone. I've been doing my own thing for close to 17 years now, and the amount of personal fulfillment is nothing short of incredible.",1
85,what is the best investment in india,what are the best investment options in india,Seven Government Post Office Saving Schemes,1
86,what is the scientific explanation of crop circles,what is the mystery behind crop circles,"It is obvious, no? the last obvious one, it is the final countdown*",1
87,how can i remove screen overlay on my j7 2016,how do i stop the screen overlay on a samsung j7,"Check this put : How to Fix the ""Screen Overlay Detected"" Error on Android",1
88,what is the average living cost of canada,what is an average cost of living in canada,"It all depends on an individual's lifestyle. However, if we consider a single person living alone will need about $1000 for room rental, approx. $500 for groceries and another $500 for other expenses such as public transportation etc., if you own a car then thats an additional cost.But if the same individual shares a room with someone , then his rental charges get divided.",1
89,what is the relationship between iot and cloud computing,what s the relationship between iot and cloud,"Iot is a platform and cloud is one part of it. If you see in network infrastructure, every big shots are migrating to Cloud. Cloud is used for storage,  computing, virtualization and data analytic. IoT will use it as end result where it will sense the data digital it, send it over internet and at the end send over cloud to whatever it is been meant for. So cloud comes in the last stage of IoT.",1
90,how was your kvpy sx 2016,how difficult was kvpy sx 2016,Horrible… I will probably end up last with maybe only 40 marks… I attempted MPC - PCPS: How did everyone else write? Did it go okay?,1
91,can you name a subject that is taboo but shouldn t be,what are some taboo topics that shouldn t be taboo,"Corruption in power. Celebrities, the ultra rich, people in powerful industry positions, secondary tiers of royalty. It exists in all these spheres. And yet because those people control the media in some cases we are sleep walking into an even worse future of this.",1
92,how do you upload an image on a quora question,how do i upload pictures to quora questions,YesYouCanUsePhotos….. to ask questions onQuora….Thanks.,1
93,who is your role model and why,who is your role model,"Nikola Tesla His worksAlternating currentWireless LightingInduction motorRadioWi-FiX-raysDeath raysFirst hydo-electric power plant (Niagara falls)TorpedoOpposed Edison on Direct Current300 + patents Slept only two hours a day Refused Noble prize Edison's Wealth and power has faded most of the brilliant works by TeslaHe is my role model, a futurist,a wizardReferences:Wikipedia",1
94,indian government issued currency in 2000 rupee denomination is it good for the economy or bad,is the decision of introducing a 2000 rs note in indian economy is good or bad,I also agree that the introduction of 2000 rs note will bring some economic bad consequences in our country. It was not required at all.,1
95,what is the best way to monetize user generated video content,what s the best way to monetize user generated content,"NOTE: I am currently consulting for Survata.How abouta surveywall to gate some of your content? We pay $0.20 per validated response, and integrate very easily with just a JS tag. For more info, shoot a note to publishers@survata.com or here: Publisher Network",1
96,which are the best books to prepare for the gate,what are the best books for gate preparation,za.gl know here how to prepare for GATEbest place get started,1
97,how does one deal with emotional pain,how do you deal with emotional pain,"You did not say if your friend abandoned you or are you hurt because of what you percieve as disloyalty? There's a difference. Evidently, from what you described, it seems she & someone else made up which is unrelated to you. It wasn't even said that you were the backstabbed one. So it's not obvious why you aren't friends anymore, unless you can explain more fully.",1
98,why do i feel like i want to die,why do i want to die,"Perhaps, you lack the vision to verify the beauty of life.",1
99,why are we attempting to colonize mars before the moon,if elon musk wants to colonize mars as a backup to save humanity why not colonize the moon,Elon Musk is very talented and an adventurous entrepreneur. He also is a snake oil salesman at heart. He knows how to capture people's attention.Mars is impossible to colonize at this time. Our moon is practical and is an excellent decision.,1
100,what are some of the best single board games,what are the best board games,Boardgamegeek.com has a great list based on users ratingshttps://boardgamegeek.com/browse...,1
101,how can i price my products,how should i price my products,"It depends on many factors, such as: the stage of development; expertise leading the project; core vs all inclusive functionality; target market; amount of cash to invest in development; etc.There is no one size fits all circumstances when evaluating a project like a new technology.",1
102,have you ever had sex with a teacher,have you had sex with a teacher,""" To teach is to touch a life forever "" So teaching is nothing less than a boon who teach.If you ate today, Thank a Farmer.If you ate in peace, Thank a Soldier.If you can read this, Thank your Teacher.So don't try to have affair with teacher",1
103,what are the various ways you use to make others feel important how does it benefit that person,what are some ways to make others feel important,Make time for them.Remember their special dates.Show your concern towards them once in a while.Ask for their opinion on your personal mattersShare your problems with them.Give them space to share theirsTell them you are always there if they need.Celebrate your milestones with them.Tell them that they are important,1
104,which answers does quora show first for each question,how does quora sort multiple answers for a question,find some information from over stack as a reference:,1
105,where can i find indoor badminton courts to play,what are some of the indoor stadiums to play badminton in gurgaon,"Yes, it is there in wazirabad, sector 52. They charge around 2000 inr per month.",1
106,why can i see both the moon and the sun in the sky,why can you sometimes see the sun and the moon in the sky,"Question: Why can I see the moon during the day?Answer: Because while the moon orbits the earth at the same rate it rotates on it's (the moon's) axis), the earth rotates on its own axis at a much faster rate:                          Real life's pretty cool, but if you're in the mood for fiction,                                         check out my Free Scifi Sampler ",1
107,does density and gravity have any relation,is gravity and density some way related,"If we want to find the gravity between two or more objects then the gravitational force is directly proportional to their Masses and if we know the mass we can find their densities.As mass is directly proportional to gravity,Density is also directly proportional to gravity.",1
108,which is the best country to do masters for mechanical engineering,which countries are good to do masters in mechanical engineering,Most preferred CountriesGermany.USA.Mexico.Australia.Best teaching staff but job opportunities is less.UK: (Strick Visa structure).Economic countries for higher education but main problem is languageJapan.South Korea.North Korea.Even China is one of the Best please for Mechanical Engineering compair to USA.,1
109,what are some mind boggling facts about rich people,what are some mind boggling facts about billionaires,This Amazing Fact (I was just amazed and laughed a lot after hearing it) :-Russia's 20 richest people have a combined net worth of over $227 billion which is larger than Pakistan's GDP.Pakistan has a nominal GDP of $215 billion.SOURCE : http://www.businessinsider.in/17...,1
110,what are the chances of war between india and pakistan and its effects on india s economy,will war happen between india and pakistan,See my answer written previously at Sharan Kalwani's answer to What are chances if war in between India and Pakistan?,1
111,how can i get healthy hair without any hair treatment,how do i get have healthy hair,"If you really want healthy hair, curb down your stress levels. When we are under stress, we will weaken the roots.Work on your mind and try to stay happy. Hair fall will automatically lesson.",1
112,how do you restore a dell inspiron b130 to the factory settings,how do i restore my dell computer to factory settings,"As soon as the Dell logo appears on the screen, repeatedly press the F8 key until you see the ""Advanced Boot Options"" menu. Select ""Repair your computer"" and press Enter. The System Recovery Options screen opens. Select your keyboard layout, and then click on Next",1
113,how many pakistanis can speak punjabi,how many pakistanis can understand punjabi,all punjabis of pakistan can understand punjabi however speaking is issue with some ppl especially new generation of our higher class but our listening skills are quite good in pakistan many shows are conducted in partially urdu and punjabi also pakistan's music is so much punjabi influnced infact pure punjabi folk music is present in pakistan only,1
114,what are some must read books about indian army,what are the best motivational books for joining the indian army,Here are some books which were taught to us in our Defence journalism class.,1
115,what do most americans from america think of indians,what do americans think of indians and india,"That could be the Red Indians you know , the Native Americans ",1
116,what are the best android apps for indians why,what are the best indian android apps,Some of my favourites:WalnutVoodooMyntraFlipkartHike MessengerZomatoCleartripFreechargeInshorts - News in 60 wordsPaytm: Recharge Mobile and DTHredBus.inSaavn - Hindi & Bollywood SongsUltimate custom widget (UCCW)IndiCode - Useful India CodesAxis Bank Mobile - very usableLoveCycles Menstrual Calendar - well designed and functional,1
117,what are some malayalam movies that made you cry,which are the malayalam movies that make you cry,VatsalyamAkashadoothuThanmathraEnnu Ninte MoideenDesadanamJacobinte SwargarajyamAmaramPavithramThaniyavarthanamBharatham,1
118,what are the best tools to test and automate web based applications,what are the cheap and best test automation tools that can be used in a startup,Desktop Automation:SikulildtpMobile Automation:AppiumCalabashBrowser Automation:SeleniumWatirLoad Testing:Open Source Load Testing Tools: Which One Should You Use?,1
119,which is the best website development software,what s the best platform for website development,"You should read this articles, to get general idea of which CMS for which sector is goodWhat CMS Will Be Your Choice 2017? Facts And Figures [Infographic] - CMS2CMSCompare Top 3 CMS (2017): WordPress vs. Joomla vs. DrupalWordPress vs. Drupal vs. Joomla: The CMS ShowdownWordpress vs Other Content Management SystemsWordPress vs Joomla vs Drupal : CMS Comparison 2017",1
120,how chameleons able to change their colors,how do chameleons change their color,"Chameleons change their color by manipulating specialized cells — called chromatophores — that contain different colors of pigment. When a chameleon wants to convey a particular mood or message, its brain sends a message to its chromatophores, which then move pigments around to change the chameleon's color.",1
121,is 291 a good score in gre,is 304 a good score in gre,"Since the americans dont believe in zero scores, the minimum score you can get in GRE is 260. So, effectively you only write the paper for 80 marks. So considering a score of 286/340, which would be 26/80 which is not a good score.",1
122,what will happen if pakistan and china declare a joint war with india,are china pakistan preparing to declare a war against india what will happen if they do,"why the people outside china think china want to attack india?if parkstan attack india, the most likely the chinese govt will do is try it best to let both sit in the table, if failed, it will sell missile to you, both of you.You know, we are business nation.........",1
123,which is worse murder or rape,which is worse rape or murder,"Of course murder.This kind of dilemma existing in the society is the curse of rape victims. And it's because of this, that at least some of them still choose to think death is better than surviving rape.Rape is not the end of life. Murder/Death is. Period.",1
124,what is your review of no man s sky,how good is no man s sky,"∞ thumbs downsWhy?Apparentlycannot be used to playIf anyone has a solution, I would like to have it, but otherwise it's not letting me play…",1
125,is vacuum energy infinite if it is how and why is it dark energy,since more and more dark energy appears does this mean that it is infinite or that the potential dark energy that can be created is infinite,um hi. i already kinda answered this heres the link!: Isaiah Alexander-de Haan's answer to Would we get more dark energy as the universe expands?,1
126,why do i always feel sleepy in college lectures,why does one feel sleepy during boring lectures which part of our brain is responsible for this,I think...You engage your most time in watching TV and chatting during night that procrastinate your sleep.,1
127,what are the benefits of using kalonji seeds for diabetes,what are the kalonji benefits for diabetics,Effect of Nigella sativa oil on various clinical and biochemical parameters of insulin resistance syndromeHere is a study that showed that taking the oil could improve fasting blood sugar levels. With standard treatment (no oil) 18% improvement was observed. By including kalonji oil along with standard treatment 29% improvement was observed over 6 weeks.,1
128,why isn t there a way to upvote good questions on quora,why isn t there an upvote for someone asking a great question on quora,You can show appreciation for a question by clicking the follow button.,1
129,what are some good ways to improve mathematics for competitive programming,how do i get good at math for competitive programming,Practice. The only way you'll improve your math skills is by doing math. Get a whiteboard (or something similar) and go to town!,1
130,what are best books for psychology students of age 18 to 28,which psychology book is the best for beginners,The Psychology of Self-Esteem  Nathaniel Branden,1
131,what s your favourite chinese food,what s your favorite chinese food,Thank you for the A2A葱油饼 (Scallion Pancake) and 蛋餅 (Egg Pancake)(1)(2)麻婆豆腐 (Mapo Doufu)(3)刨冰 (Baobing/ Shaved Ice with toppings)(4)Scallion Pancakes (Green Onion Cakes) - Chew Out Loud[台中美食●北區] 一心古早味蛋餅 - 蛋黃破掉了!!起司失控了!!!台中超人氣排隊蛋餅|食尚玩家推薦 - 吃關關Mapo doufu - Wikipedia韓式刨冰你食過未?,1
132,quora how do you post a question on quora,how do i ask someone a question on quora,You clearly already know as you posted this one………,1
